-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             train_step        32.79%      71.774ms        74.04%     162.086ms      54.029ms       0.000us         0.00%      71.236ms      23.745ms             3  
                                  cudaDeviceSynchronize        24.25%      53.089ms        24.26%      53.115ms       2.125ms       0.000us         0.00%       0.000us       0.000us            25  
                                          tp_all_reduce         4.50%       9.845ms         8.38%      18.353ms     191.178us       0.000us         0.00%      70.551ms     734.902us            96  
                                       cudaLaunchKernel         4.25%       9.299ms         4.25%       9.299ms       6.950us       0.000us         0.00%       0.000us       0.000us          1338  
                                               aten::mm         2.92%       6.399ms         4.45%       9.743ms      39.127us      37.027ms        23.63%      37.027ms     148.702us           249  
                                     record_param_comms         2.38%       5.208ms         3.49%       7.649ms      36.953us      71.244ms        45.47%      71.244ms     344.176us           207  
                        _ColumnParallelLinearFnBackward         2.32%       5.077ms        10.23%      22.395ms     466.564us       0.000us         0.00%      58.268ms       1.214ms            48  
                              Optimizer.step#AdamW.step         1.37%       2.992ms         3.14%       6.878ms       2.293ms       0.000us         0.00%      14.803ms       4.934ms             3  
                                            aten::empty         1.06%       2.312ms         1.06%       2.312ms       4.056us       0.000us         0.00%       0.000us       0.000us           570  
                                              aten::bmm         1.03%       2.251ms         1.42%       3.114ms      21.625us       6.355ms         4.06%       6.355ms      44.132us           144  
                                       c10d::allreduce_         0.98%       2.148ms         4.21%       9.213ms      82.996us       0.000us         0.00%      71.244ms     641.841us           111  
                                        cudaMemsetAsync         0.84%       1.829ms         0.84%       1.829ms       6.220us       0.000us         0.00%       0.000us       0.000us           294  
                                            aten::copy_         0.82%       1.802ms         2.04%       4.468ms      15.196us       2.266ms         1.45%       2.266ms       7.706us           294  
                                              aten::sum         0.78%       1.713ms         1.35%       2.950ms      30.731us       2.109ms         1.35%       2.109ms      21.973us            96  
                                             aten::view         0.76%       1.670ms         0.76%       1.670ms       2.116us       0.000us         0.00%       0.000us       0.000us           789  
                                              aten::add         0.69%       1.517ms         1.15%       2.514ms      19.954us       1.821ms         1.16%       1.821ms      14.453us           126  
                                    aten::empty_strided         0.67%       1.461ms         0.67%       1.461ms       3.958us       0.000us         0.00%       0.000us       0.000us           369  
                                        cudaMemcpyAsync         0.66%       1.446ms         0.66%       1.446ms      10.956us       0.000us         0.00%       0.000us       0.000us           132  
                         _ReduceFromModelParallelRegion         0.60%       1.306ms         5.13%      11.241ms     234.192us       0.000us         0.00%      31.352ms     653.168us            48  
                                            aten::addmm         0.57%       1.253ms         0.85%       1.865ms      38.864us       9.176ms         5.86%       9.176ms     191.175us            48  
                                       cuLaunchKernelEx         0.55%       1.200ms         0.55%       1.200ms      10.810us       0.000us         0.00%       0.000us       0.000us           111  
                                         cuLaunchKernel         0.54%       1.173ms         0.54%       1.173ms       7.822us       0.000us         0.00%       0.000us       0.000us           150  
                                          ProfilerStep*         0.49%       1.064ms        75.88%     166.121ms      55.374ms       0.000us         0.00%      71.967ms      23.989ms             3  
                                          aten::reshape         0.44%     973.209us         2.39%       5.226ms       8.753us       0.000us         0.00%       1.097ms       1.838us           597  
autograd::engine::evaluate_function: NativeLayerNorm...         0.44%     971.390us         1.75%       3.833ms      75.159us       0.000us         0.00%       1.847ms      36.220us            51  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 218.914ms
Self CUDA time total: 156.685ms

