-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        30.76%      65.911ms        30.76%      65.911ms       2.636ms      12.384us         0.01%      12.384us       0.495us            25  
                                             train_step        27.95%      59.883ms        77.75%     166.604ms      55.535ms       0.000us         0.00%      81.023ms      27.008ms             3  
                                       cudaLaunchKernel         4.25%       9.105ms         4.25%       9.105ms       6.805us       0.000us         0.00%       0.000us       0.000us          1338  
                                               aten::mm         2.82%       6.048ms         4.30%       9.213ms      36.998us      35.817ms        23.17%      35.817ms     143.844us           249  
                              Optimizer.step#AdamW.step         2.59%       5.540ms         4.42%       9.466ms       3.155ms       0.000us         0.00%      14.825ms       4.942ms             3  
                                     record_param_comms         2.46%       5.262ms         3.44%       7.369ms      66.387us      71.688ms        46.38%      71.704ms     645.983us           111  
                                          tp_all_reduce         2.17%       4.647ms         6.01%      12.875ms     134.118us       0.000us         0.00%      71.610ms     745.938us            96  
                        _ColumnParallelLinearFnBackward         1.18%       2.522ms         6.95%      14.882ms     310.051us       0.000us         0.00%      47.202ms     983.375us            48  
                                              aten::bmm         1.12%       2.408ms         1.53%       3.273ms      22.727us       6.376ms         4.13%       6.376ms      44.280us           144  
                                            aten::empty         1.09%       2.339ms         1.09%       2.339ms       4.103us       0.000us         0.00%       0.000us       0.000us           570  
                                       c10d::allreduce_         0.96%       2.053ms         4.41%       9.442ms      85.060us       0.000us         0.00%      71.960ms     648.286us           111  
                                            aten::copy_         0.86%       1.846ms         2.14%       4.595ms      15.630us       2.309ms         1.49%       2.309ms       7.853us           294  
                                        cudaMemsetAsync         0.82%       1.746ms         0.82%       1.746ms       5.940us       0.000us         0.00%       0.000us       0.000us           294  
                                              aten::add         0.77%       1.645ms         1.24%       2.657ms      21.085us       1.822ms         1.18%       1.822ms      14.460us           126  
                                              aten::sum         0.74%       1.586ms         1.26%       2.705ms      28.175us     801.921us         0.52%     801.921us       8.353us            96  
                         _ReduceFromModelParallelRegion         0.73%       1.566ms         4.58%       9.808ms     204.327us       0.000us         0.00%      41.207ms     858.483us            48  
                                    aten::empty_strided         0.69%       1.476ms         0.69%       1.479ms       4.007us       0.000us         0.00%       0.000us       0.000us           369  
                                             aten::view         0.68%       1.459ms         0.68%       1.459ms       1.849us       0.000us         0.00%       0.000us       0.000us           789  
                                        cudaMemcpyAsync         0.68%       1.451ms         0.68%       1.458ms      11.042us       0.000us         0.00%       0.000us       0.000us           132  
                                            aten::addmm         0.66%       1.408ms         0.97%       2.082ms      43.375us       9.135ms         5.91%       9.135ms     190.315us            48  
                                          ProfilerStep*         0.57%       1.228ms        79.88%     171.163ms      57.054ms       0.000us         0.00%      82.618ms      27.539ms             3  
                                        aten::transpose         0.52%       1.105ms         0.75%       1.608ms       2.961us       0.000us         0.00%       0.000us       0.000us           543  
                                       cuLaunchKernelEx         0.49%       1.047ms         0.49%       1.047ms       9.435us       0.000us         0.00%       0.000us       0.000us           111  
                                         cuLaunchKernel         0.49%       1.041ms         0.49%       1.041ms       6.939us       0.000us         0.00%       0.000us       0.000us           150  
                                          aten::reshape         0.45%     959.290us         2.41%       5.173ms       8.665us       0.000us         0.00%       1.126ms       1.887us           597  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 214.286ms
Self CUDA time total: 154.571ms

